Município ;Código na SEF-MG;Código TOM-SERPRO
ADAMANTINA;1;6101
ADOLFO;2;6103
AGUAI;3;6105
AGUAS DA PRATA;4;6107
AGUAS DE LINDOIA;5;6109
AGUAS DE SANTA BARBARA;6;7019
AGUAS DE SAO PEDRO;7;6111
AGUDOS;8;6113
ALAMBARI;584;2995
ALFREDO MARCONDES;9;6115
ALTAIR;10;6117
ALTINOPOLIS;11;6119
ALTO ALEGRE;12;6121
ALUMINIO;585;3065
ALVARES FLORENCE;13;6123
ALVARES MACHADO;14;6125
ALVARO DE CARVALHO;15;6127
ALVINLANDIA;16;6129
AMERICANA;17;6131
AMERICO BRASILIENSE;18;6133
AMERICO DE CAMPOS;19;6135
AMPARO;20;6137
ANALANDIA;21;6139
ANDRADINA;22;6141
ANGATUBA;23;6143
ANHEMBI;24;6145
ANHUMAS;25;6147
APARECIDA;26;6149
APARECIDA D'OESTE;27;6151
APIAI;28;6153
ARACARIGUAMA;586;3067
ARACATUBA;29;6155
ARACOIABA DA SERRA;30;6157
ARAMINA;31;6159
ARANDU;32;6161
ARAPEI;587;2991
ARARAQUARA;33;6163
ARARAS;34;6165
ARCO-IRIS;588;790
AREALVA;35;6167
AREIAS;36;6169
AREIOPOLIS;37;6171
ARIRANHA;38;6173
ARTUR NOGUEIRA;39;6175
ARUJA;40;6177
ASPASIA;589;2981
ASSIS;41;6179
ATIBAIA;42;6181
AURIFLAMA;43;6183
AVAI;44;6185
AVANHANDAVA;45;6187
AVARE;46;6189
BADY BASSITT;47;6191
BALBINOS;48;6193
BALSAMO;49;6195
BANANAL;50;6197
BARAO DE ANTONINA;51;6201
BARBOSA;52;6199
BARIRI;53;6203
BARRA BONITA;54;6205
BARRA DO CHAPEU;590;2997
BARRA DO TURVO;55;6207
BARRETOS;56;6209
BARRINHA;57;6211
BARUERI;58;6213
BASTOS;59;6215
BATATAIS;60;6217
BAURU;61;6219
BEBEDOURO;62;6221
BENTO DE ABREU;63;6223
BERNARDINO DE CAMPOS;64;6225
BERTIOGA;591;2965
BILAC;65;6227
BIRIGUI;66;6229
BIRITIBA-MIRIM;67;6231
BOA ESPERANCA DO SUL;68;6233
BOCAINA;69;6235
BOFETE;70;6237
BOITUVA;71;6239
BOM JESUS DOS PERDOES;72;6241
BOM SUCESSO DE ITARARE;592;3059
BORA;73;6243
BORACEIA;74;6245
BORBOREMA;75;6247
BOREBI;573;7247
BOTUCATU;76;6249
BRAGANCA PAULISTA;77;6251
BRAUNA;78;6255
BREJO ALEGRE;593;792
BRODOWSKI;79;6257
BROTAS;80;6259
BURI;81;6261
BURITAMA;82;6263
BURITIZAL;83;6265
CABRALIA PAULISTA;84;6267
CABREUVA;85;6269
CACAPAVA;86;6271
CACHOEIRA PAULISTA;87;6273
CACONDE;88;6275
CAFELANDIA;89;6277
CAIABU;90;6279
CAIEIRAS;91;6281
CAIUA;92;6283
CAJAMAR;93;6285
CAJATI;594;2967
CAJOBI;94;6287
CAJURU;95;6289
CAMPINA DO MONTE ALEGRE;595;2999
CAMPINAS;96;6291
CAMPO LIMPO PAULISTA;97;6293
CAMPOS DO JORDAO;98;6295
CAMPOS NOVOS PAULISTA;99;6297
CANANEIA;100;6299
CANAS;596;794
CANDIDO MOTA;101;6301
CANDIDO RODRIGUES;102;6303
CANITAR;597;2947
CAPAO BONITO;103;6305
